0.32	112	0.999886
0.19	27	0.987615
0.205	4	0.988541
0.27	49	1.00003
0.515	54	1.07504
0.47	179	0.167439
0.165	24	0.999478
0.175	146	0.998876
0.39	110	0.999937
0.28	19	1.02055
0.17	6	0.999616
0.56	268	0.996941
0.47	237	0.991599
0.6	10	0.552485
0.385	80	1.07365
0.22	46	0.998947
0.285	91	0.994448
0.15	239	0.99991
0.37	103	0.999999
0.27	73	0.999228
0.195	45	1.00063
0.325	86	1
0.69	88	1.23523
0.5	7	1.89044
0.15	118	1.00052
0.1	35	1
0.43	91	0.2622
0.29	6	0.999251
0.475	9	0.999999
2.12	13	0.991922
0.315	24	0.99531
0.575	40	0.999496
0.445	143	0.997436
0.925	24	1.05028
0.25	154	0.992846
0.29	15	1.25514
0.25	78	0.999988
0.58	184	1.05461
0.365	3	0.999904
0.69	78	1.39828
0.255	17	1.00776
0.275	257	1.07144
0.345	10	0.985554
1.345	282	0.998117
0.275	32	1.00379
0.155	151	1.00329
0.255	75	0.992889
0.22	14	0.999829
0.25	3	1.59195
0.19	25	1
0.375	30	0.550012
0.53	14	1
0.39	132	1.00643
0.91	1	1.1926
0.515	82	1.18243
0.315	12	1.00074
0.215	5	0.983546
0.25	24	1.00007
0.835	23	1.48903
0.375	162	1.00197
0.165	29	0.996355
0.405	120	1
0.28	208	0.939397
0.29	15	0.998117
0.835	39	1.02242
0.28	24	0.999999
0.43	40	0.976258
0.295	63	0.999949
0.64	17	0.78606
0.555	26	0.725705
0.35	71	1.00007
0.47	36	0.997151
1.14	131	1.25546
0.305	36	0.9845
0.135	4	0.999989
0.155	7	1.00021
0.37	72	1.00002
0.195	18	0.943608
0.33	206	1.70769
0.2	36	0.999462
0.4	17	0.376719
0.14	52	0.999696
0.135	2	1
0.475	41	0.989153
0.475	29	0.864709
0.28	86	0.998167
0.29	160	0.996404
0.42	37	1.02606
0.27	2	0.999924
0.115	100	0.999999
0.63	89	1.44494
0.345	54	0.999775
0.525	33	1.00911
0.32	48	1.17077
0.245	18	0.999898
0.63	27	1.08043
0.525	25	0.997624
0.53	143	0.40037
0.235	146	0.996413
0.24	19	0.998324
0.24	70	0.997869
0.3	188	0.999983
0.21	50	1.00006
0.535	47	1.67856
0.205	55	0.99909
0.275	15	0.980606
0.585	52	1.04009
0.295	181	0.998871
0.265	284	0.997713
0.56	32	0.750387
0.155	7	0.999955
0.2	77	0.999967
0.17	54	0.999641
0.3	29	0.942841
0.87	2	0.999949
0.19	33	0.997044
0.56	55	1.86407
0.68	1	0.999944
0.38	132	0.573134
0.615	131	0.661627
0.31	39	0.985596
0.355	98	0.769063
0.15	35	0.999999
0.215	42	0.999575
0.16	26	1.00679
0.37	13	1.00821
0.275	1	1.00175
0.575	4	1.25841
0.915	2	0.420703
0.79	30	0.972229
0.19	42	1
0.21	14	0.999987
0.315	5	1.00061
0.545	18	1.00385
0.275	173	1.01368
0.375	9	1.00004
0.43	37	1.00029
0.44	33	0.998889
0.29	48	1.00002
0.2	49	0.998335
0.245	21	0.995829
0.295	51	0.997659
0.455	94	0.428141
0.205	38	0.999853
0.715	78	0.932306
0.19	50	1.01997
0.13	9	0.999996
0.3	48	0.995879
0.285	6	0.999989
0.25	43	0.972079
0.555	75	0.861715
0.235	38	0.996942
0.18	63	0.999996
1.035	125	0.958416
0.515	155	0.543061
0.3	1	0.445181
0.34	148	0.990399
